iter	RMSE
0	16.53460079
1	16.43276029
2	16.32777187
3	16.22161182
4	16.11977403
5	16.01709648
6	15.91051107
7	15.80973599
8	15.7121457
9	15.612353
10	15.51244391
11	15.41692098
12	15.31978478
13	15.22494549
14	15.12956733
15	15.04421106
16	14.95625643
17	14.85814975
18	14.772004
19	14.67932682
20	14.58868449
21	14.50148156
22	14.40499055
23	14.30912572
24	14.22591711
25	14.14245861
26	14.05606133
27	13.97899512
28	13.88702562
29	13.79718301
30	13.71033229
31	13.62971796
32	13.54329308
33	13.46483887
34	13.38378136
35	13.30516563
36	13.2325758
37	13.15148743
38	13.07169915
39	13.00111073
40	12.91574774
41	12.84897709
42	12.77529129
43	12.70193969
44	12.63705165
45	12.56432782
46	12.4918497
47	12.41953629
48	12.35900268
49	12.29331363
50	12.2229623
51	12.1611125
52	12.09805528
53	12.03785949
54	11.97945436
55	11.91748546
56	11.85826168
57	11.7966799
58	11.7295044
59	11.67886422
60	11.61871043
61	11.55790033
62	11.48742685
63	11.43092262
64	11.36407508
65	11.30618129
66	11.23925283
67	11.17799838
68	11.1226504
69	11.06712819
70	11.01494164
71	10.95268833
72	10.89662611
73	10.84363758
74	10.78819737
75	10.73645634
76	10.68186575
77	10.63098917
78	10.57903339
79	10.52022835
80	10.4666102
81	10.41385924
82	10.35991127
83	10.31482812
84	10.2683297
85	10.21669376
86	10.17233674
87	10.11458705
88	10.06954573
89	10.01697775
90	9.972614043
91	9.923979668
92	9.870418523
93	9.821593965
94	9.779023925
95	9.731871629
96	9.681692672
97	9.641220342
98	9.592142716
99	9.549549729
100	9.507582366
101	9.462727921
102	9.42348168
103	9.383603212
104	9.335320791
105	9.300523386
106	9.257577284
107	9.219399323
108	9.183566342
109	9.138367241
110	9.097423942
111	9.057722875
112	9.018299493
113	8.982335116
114	8.946092089
115	8.90368887
116	8.869173688
117	8.832707525
118	8.795815122
119	8.761685275
120	8.725934312
121	8.693641498
122	8.658043758
123	8.625280788
124	8.590649339
125	8.564412302
126	8.528519874
127	8.49304608
128	8.461806637
129	8.429254399
130	8.399371075
131	8.369902989
132	8.332194034
133	8.305133649
134	8.273815452
135	8.240951771
136	8.219314218
137	8.188385837
138	8.160111385
139	8.127712638
140	8.09905884
141	8.064756064
142	8.027531437
143	8.00230385
144	7.96776303
145	7.937442946
146	7.909749341
147	7.88360192
148	7.855121376
149	7.82678339
150	7.798536262
151	7.774570905
152	7.750086591
153	7.722172554
154	7.695009357
155	7.672175501
156	7.642560485
157	7.618158126
158	7.597153185
159	7.570869752
160	7.546443343
161	7.523506742
162	7.493477066
163	7.466799023
164	7.440446392
165	7.4192204
166	7.39550333
167	7.371561943
168	7.344421108
169	7.32114739
170	7.297367909
171	7.275942001
172	7.256045381
173	7.235232715
174	7.212687249
175	7.195329457
176	7.166737106
177	7.141239459
178	7.118263474
179	7.095029143
180	7.070256354
181	7.046796548
182	7.025592844
183	7.00270368
184	6.982777312
185	6.958256814
186	6.934463913
187	6.908274539
188	6.887851552
189	6.869269806
190	6.851433043
191	6.829849001
192	6.805878824
193	6.78495929
194	6.761392863
195	6.740581839
196	6.720949347
197	6.701011402
198	6.680698395
199	6.662648032
200	6.644882208
201	6.624815432
202	6.606530038
203	6.587436612
204	6.570491185
205	6.552370537
206	6.534836843
207	6.516555291
208	6.50393529
209	6.482238882
210	6.464986045
211	6.444627951
212	6.43095854
213	6.416677421
214	6.399292103
215	6.381552679
216	6.364030383
217	6.350636702
218	6.335952306
219	6.319241658
220	6.302517826
221	6.288797288
222	6.27381021
223	6.256803248
224	6.243625744
225	6.228685054
226	6.213454833
227	6.197140217
228	6.185928321
229	6.174552904
230	6.157199094
231	6.142457086
232	6.129685162
233	6.116144587
234	6.103828671
235	6.089167575
236	6.076970324
237	6.064338511
238	6.052507579
239	6.038822603
240	6.024969648
241	6.012621188
242	5.998821809
243	5.98586834
244	5.972015878
245	5.960497902
246	5.947979619
247	5.938245767
248	5.927472102
249	5.918207947
250	5.908390807
251	5.89166629
252	5.875508134
253	5.861830912
254	5.84635361
255	5.834860049
256	5.819386815
257	5.804179437
258	5.791860744
259	5.780463642
260	5.767640529
261	5.75735175
262	5.745535693
263	5.735714763
264	5.72458802
265	5.711192988
266	5.698665748
267	5.687120959
268	5.675377677
269	5.663588146
270	5.6513556
271	5.642811052
272	5.630744404
273	5.617954931
274	5.607699965
275	5.597515279
276	5.588051581
277	5.575789011
278	5.565351764
279	5.553812757
280	5.540414084
281	5.527091388
282	5.519456043
283	5.508985807
284	5.501642444
285	5.490380435
286	5.477474757
287	5.469881304
288	5.463318572
289	5.45364184
290	5.441760368
291	5.430908748
292	5.420425214
293	5.41062579
294	5.400880352
295	5.394074246
296	5.384015084
297	5.374981037
298	5.366209441
299	5.3580066
300	5.347920792
301	5.337914313
302	5.328983072
303	5.321656246
304	5.312564927
305	5.30446582
306	5.295948071
307	5.287599425
308	5.279422144
309	5.271236836
310	5.261928244
311	5.253860332
312	5.243050112
313	5.233501152
314	5.225439751
315	5.217453702
316	5.208265572
317	5.2026477
318	5.193578053
319	5.185764583
320	5.180359922
321	5.173396164
322	5.165902563
323	5.158428661
324	5.150731712
325	5.141654051
326	5.133867341
327	5.126978062
328	5.118326349
329	5.109641431
330	5.101816974
331	5.094004152
332	5.08504532
333	5.079982219
334	5.072723171
335	5.065580128
336	5.059416824
337	5.05173834
338	5.046061071
339	5.03844927
340	5.032125748
341	5.026033409
342	5.018669366
343	5.012587651
344	5.007284842
345	4.999040062
346	4.992426773
347	4.984811472
348	4.97799845
349	4.971462414
350	4.963977611
351	4.957371632
352	4.949729494
353	4.943960938
354	4.939086343
355	4.932915662
356	4.927257362
357	4.92146071
358	4.916362112
359	4.909758468
360	4.902742218
361	4.895642404
362	4.889507119
363	4.882342604
364	4.876415158
365	4.867471403
366	4.861347035
367	4.856638568
368	4.848731958
369	4.842929414
370	4.835879911
371	4.829047081
372	4.821824564
373	4.816921465
374	4.812632704
375	4.805647475
376	4.800887825
377	4.795448227
378	4.787552205
379	4.782013385
380	4.774730654
381	4.768822053
382	4.762233127
383	4.757332746
384	4.751242623
385	4.745119073
386	4.741311966
387	4.736657079
388	4.730032187
389	4.725010635
390	4.719433042
391	4.713006149
392	4.706920993
393	4.701607319
394	4.694698383
395	4.690049822
396	4.686054708
397	4.680959119
398	4.675147971
399	4.670906058
400	4.666050177
401	4.660088488
402	4.653182371
403	4.645729916
404	4.640806475
405	4.636669791
406	4.630545474
407	4.626896104
408	4.622443515
409	4.616926151
410	4.613858262
411	4.608889469
412	4.60451286
413	4.59909412
414	4.593903424
415	4.588774292
416	4.584099829
417	4.578978623
418	4.575178466
419	4.57189132
420	4.567078625
421	4.563096541
422	4.55766161
423	4.553533258
424	4.547616259
425	4.540911943
426	4.535353519
427	4.530646316
428	4.524419813
429	4.519582833
430	4.514765111
431	4.510356048
432	4.505605896
433	4.50087516
434	4.495784938
435	4.490661376
436	4.486633985
437	4.482109245
438	4.478053299
439	4.473115841
440	4.468989686
441	4.465180286
442	4.461920558
443	4.458147509
444	4.452508099
445	4.449098461
446	4.442678296
447	4.437503417
448	4.433408191
449	4.430365625
450	4.426309852
451	4.422650474
452	4.41901807
453	4.414893305
454	4.410077143
455	4.406332108
456	4.403132089
457	4.399753039
458	4.394524097
459	4.389914674
460	4.385943171
461	4.380686612
462	4.37713969
463	4.373226532
464	4.369017101
465	4.365347412
466	4.361474493
467	4.358677605
468	4.353787091
469	4.349611744
470	4.348147952
471	4.344626411
472	4.34212233
473	4.339511609
474	4.335602672
475	4.331377199
476	4.326075698
477	4.321357545
478	4.316832726
479	4.312927027
480	4.309121949
481	4.305755785
482	4.302058945
483	4.298129168
484	4.294205034
485	4.2922009
486	4.289278795
487	4.284561464
488	4.279681134
489	4.276632464
490	4.271953831
491	4.268441765
492	4.264309544
493	4.26088198
494	4.25735185
495	4.253462986
496	4.248733723
497	4.243520906
498	4.241076394
499	4.238443311
500	4.234201366
501	4.229569016
502	4.226543669
503	4.222277119
504	4.217835599
505	4.213316516
506	4.210364691
507	4.206396188
508	4.202163864
509	4.199558111
510	4.195517209
511	4.192785021
512	4.188568817
513	4.183898386
514	4.177773541
515	4.173804649
516	4.17096088
517	4.16669666
518	4.162547378
519	4.159029671
520	4.156351987
521	4.153382261
522	4.150679258
523	4.147489357
524	4.145255873
525	4.141647334
526	4.137499867
527	4.13396296
528	4.130291054
529	4.126753287
530	4.123575704
531	4.120326661
532	4.118177259
533	4.114492323
534	4.110842948
535	4.107145148
536	4.103431671
537	4.100232466
538	4.096293493
539	4.093482699
540	4.089999893
541	4.087413854
542	4.084932199
543	4.080147138
544	4.077589776
545	4.075360105
546	4.072077688
547	4.070358723
548	4.067434432
549	4.064320211
550	4.061688016
551	4.058114157
552	4.055868458
553	4.052009502
554	4.048116152
555	4.046467854
556	4.043012893
557	4.039329259
558	4.036943125
559	4.034108736
560	4.031631768
561	4.027670886
562	4.025438994
563	4.021844884
564	4.017333877
565	4.01397337
566	4.01168467
567	4.007651182
568	4.005427829
569	4.002119699
570	3.99872466
571	3.996747166
572	3.99509148
573	3.992432774
574	3.989736675
575	3.985923951
576	3.982595648
577	3.980025702
578	3.976880352
579	3.974501993
580	3.972409206
581	3.970535008
582	3.967122394
583	3.964544819
584	3.961514308
585	3.958168356
586	3.955497317
587	3.952489966
588	3.94984061
589	3.947232752
590	3.944242038
591	3.942555528
592	3.938601914
593	3.935367028
594	3.933798899
595	3.930960888
596	3.928470655
597	3.925989746
598	3.923287377
599	3.921449551
600	3.91843346
601	3.915558646
602	3.912334118
603	3.910272322
604	3.906907988
605	3.905332055
606	3.902854026
607	3.900796845
608	3.897454638
609	3.894727965
610	3.892654938
611	3.889996354
612	3.886635411
613	3.883230351
614	3.881266852
615	3.879508727
616	3.877981496
617	3.875313979
618	3.875069799
619	3.872248104
620	3.870381486
621	3.867264391
622	3.865007563
623	3.862287946
624	3.862045309
625	3.859861534
626	3.855775191
627	3.852401443
628	3.85133297
629	3.848646783
630	3.846970131
631	3.845333608
632	3.843401819
633	3.843055079
634	3.839722316
635	3.83873604
636	3.835916227
637	3.835582166
638	3.834192589
639	3.830917277
640	3.828553595
641	3.82803408
642	3.827667353
643	3.824620935
644	3.822693666
645	3.822019916
646	3.819503047
647	3.817409527
648	3.817076357
649	3.814111276
650	3.811302984
651	3.807942724
652	3.806932204
653	3.804832087
654	3.802215023
655	3.800817143
656	3.798516033
657	3.798030865
658	3.795186322
659	3.794416068
660	3.790232633
661	3.789910684
662	3.786965627
663	3.785038165
664	3.783036832
665	3.780026371
666	3.778652834
667	3.777864193
668	3.776976997
669	3.776402619
670	3.774044202
671	3.773482968
672	3.770813652
673	3.768137211
674	3.767527094
675	3.766601571
676	3.765231984
677	3.762615459
678	3.761807834
679	3.761277926
680	3.758924142
681	3.756436506
682	3.754604694
683	3.751604251
684	3.750625218
685	3.74802312
686	3.746790047
687	3.743755383
688	3.741934968
689	3.740356572
690	3.740030144
691	3.739130909
692	3.738786331
693	3.735928362
694	3.733194645
695	3.731158513
696	3.728924014
697	3.725756393
698	3.725466206
699	3.723379851
700	3.722410641
701	3.719875878
702	3.716755371
703	3.714664317
704	3.712205203
705	3.711606464
706	3.708945179
707	3.708591051
708	3.708307994
709	3.705813926
710	3.705296568
711	3.703516917
712	3.702814705
713	3.699710633
714	3.698886796
715	3.695908708
716	3.694977199
717	3.693047044
718	3.690007438
719	3.689366867
720	3.68883958
721	3.685846972
722	3.68378998
723	3.681380162
724	3.681079401
725	3.680809419
726	3.67812703
727	3.675744845
728	3.673160109
729	3.672568365
730	3.669668605
731	3.669232678
732	3.666675315
733	3.664450476
734	3.662122049
735	3.661656291
736	3.661172058
737	3.658186089
738	3.657291866
739	3.653189686
740	3.652101936
741	3.648835289
742	3.648270034
743	3.645212261
744	3.644920564
745	3.644593097
746	3.644092115
747	3.641309914
748	3.638658111
749	3.636036266
750	3.635779893
751	3.634869926
752	3.634174858
753	3.632784864
754	3.63190628
755	3.631160234
756	3.629329163
757	3.625548875
758	3.622678956
759	3.621460625
760	3.620999464
761	3.618493367
762	3.618071947
763	3.616159733
764	3.615887665
765	3.615313498
766	3.613363349
767	3.61309955
768	3.612517996
769	3.609163355
770	3.60669721
771	3.604397831
772	3.60373993
773	3.603369634
774	3.601568449
775	3.601281262
776	3.598409157
777	3.596351487
778	3.594631752
779	3.591481139
780	3.590499997
781	3.590218937
782	3.588331583
783	3.586020833
784	3.585690234
785	3.585260934
786	3.58488512
787	3.584605738
788	3.582472888
789	3.582085767
790	3.581641884
791	3.581006755
792	3.580730979
793	3.5799731
794	3.577389071
795	3.576740356
796	3.576468913
797	3.575878935
798	3.575251336
799	3.575013143
800	3.572550296
801	3.570194688
802	3.569934866
803	3.569517076
804	3.567366504
805	3.564208591
806	3.563629129
807	3.563360881
808	3.560422498
809	3.557785363
810	3.555079149
811	3.554807271
812	3.552551419
813	3.550454594
814	3.550205315
815	3.54688367
816	3.544759021
817	3.542534426
818	3.540189765
819	3.539930885
820	3.539682465
821	3.539101369
822	3.53631554
823	3.534636579
824	3.534388135
825	3.533738854
826	3.533497644
827	3.533134696
828	3.530930686
829	3.528936107
830	3.52867122
831	3.528025704
832	3.52779083
833	3.527211845
834	3.523612195
835	3.521636756
836	3.518376513
837	3.518127202
838	3.515851777
839	3.51363234
840	3.510346573
841	3.510088307
842	3.506439269
843	3.503810628
844	3.502097715
845	3.500176656
846	3.499739924
847	3.49720177
848	3.496955268
849	3.496715115
850	3.496391842
851	3.492731976
852	3.492116851
853	3.489537073
854	3.488982334
855	3.486480164
856	3.485200831
857	3.482909718
858	3.482661072
859	3.482339766
860	3.479264455
861	3.47900918
862	3.476657267
863	3.476422262
864	3.476179838
865	3.475950795
866	3.473257472
867	3.470761143
868	3.470166075
869	3.469929866
870	3.468188461
871	3.467609881
872	3.465207316
873	3.464872202
874	3.462640128
875	3.459868022
876	3.459630777
877	3.45652499
878	3.45575711
879	3.45449053
880	3.4542336
881	3.451875984
882	3.451337644
883	3.451120001
884	3.448623828
885	3.448397256
886	3.446218948
887	3.445927881
888	3.442929403
889	3.442704584
890	3.440349506
891	3.440125926
892	3.43789621
893	3.4357586
894	3.435458748
895	3.433549367
896	3.430531134
897	3.428681504
898	3.428330953
899	3.425511358
900	3.42527615
901	3.424721138
902	3.421902096
903	3.421685388
904	3.419493646
905	3.4192784
906	3.419070092
907	3.417236762
908	3.416319814
909	3.416106821
910	3.413539389
911	3.410147482
912	3.408102918
913	3.40576153
914	3.405458017
915	3.403918354
916	3.403698034
917	3.40192262
918	3.40171379
919	3.399706094
920	3.399220843
921	3.397223093
922	3.394726628
923	3.392639598
924	3.390712301
925	3.390500768
926	3.390289901
927	3.387996722
928	3.385932719
929	3.383971025
930	3.381298509
931	3.378827787
932	3.378556711
933	3.37834898
934	3.378148091
935	3.37672944
936	3.374041829
937	3.371825552
938	3.371608177
939	3.371313469
940	3.369777343
941	3.367564804
942	3.367368259
943	3.364073456
944	3.363872475
945	3.361403455
946	3.359419986
947	3.357625807
948	3.355427172
949	3.352419517
950	3.350514027
951	3.347289098
952	3.346240813
953	3.344174473
954	3.343883959
955	3.341833755
956	3.339788157
957	3.337795756
958	3.335588016
959	3.334054269
960	3.332006657
961	3.330867892
962	3.328524301
963	3.326596938
964	3.326309873
965	3.324019322
966	3.322109358
967	3.319945744
968	3.319692378
969	3.319258447
970	3.317160286
971	3.316915643
972	3.316731991
973	3.314383778
974	3.312297856
975	3.309232008
976	3.308991111
977	3.308791833
978	3.308358557
979	3.306033821
980	3.305724437
981	3.304033638
982	3.303619569
983	3.301518642
984	3.299580665
985	3.297540079
986	3.297362025
987	3.294770935
988	3.294593632
989	3.291635413
990	3.289826269
991	3.288441822
992	3.287961975
993	3.28695222
994	3.28560912
995	3.284294465
