iter	Passed	Remaining
0	12	58609
1	16	37166
2	30	45408
3	38	43899
4	41	37231
5	64	48194
6	66	42633
7	67	38330
8	69	35014
9	71	32325
10	73	30103
11	76	28885
12	78	27308
13	82	26479
14	85	25788
15	109	30822
16	112	29714
17	117	29508
18	119	28256
19	120	27152
20	122	26172
21	124	25430
22	126	24672
23	127	23970
24	129	23259
25	130	22603
26	132	21993
27	133	21478
28	135	20955
29	136	20498
30	138	20104
31	141	19820
32	142	19413
33	144	19033
34	145	18683
35	147	18335
36	148	18018
37	150	17718
38	151	17430
39	153	17261
40	155	16991
41	156	16735
42	158	16488
43	159	16255
44	161	16028
45	162	15825
46	164	15634
47	165	15472
48	168	15357
49	169	15174
50	171	15005
51	172	14835
52	173	14673
53	175	14515
54	176	14364
55	178	14252
56	179	14103
57	181	13969
58	183	13876
59	184	13743
60	186	13618
61	187	13496
62	188	13373
63	190	13250
64	191	13136
65	192	13024
66	194	12935
67	195	12837
68	197	12736
69	199	12676
70	200	12588
71	202	12491
72	203	12425
73	205	12338
74	206	12246
75	207	12160
76	209	12096
77	210	12022
78	213	12034
79	215	11996
80	217	11947
81	219	11886
82	220	11815
83	222	11746
84	223	11678
85	225	11627
86	227	11578
87	229	11588
88	232	11569
89	233	11510
90	235	11452
91	236	11400
92	238	11342
93	239	11284
94	241	11243
95	242	11198
96	244	11142
97	246	11135
98	248	11085
99	249	11034
100	250	10983
101	252	10936
102	253	10887
103	255	10839
104	256	10804
105	258	10764
106	259	10701
107	261	10698
108	263	10653
109	264	10609
110	265	10566
111	267	10526
112	268	10485
113	269	10443
114	271	10406
115	273	10376
116	274	10342
117	277	10356
118	278	10327
119	280	10290
120	281	10255
121	283	10219
122	284	10183
123	285	10148
124	287	10126
125	289	10096
126	290	10064
127	293	10064
128	294	10032
129	295	9997
130	297	9977
131	298	9947
132	300	9915
133	301	9885
134	304	9903
135	306	9875
136	308	9871
137	310	9853
138	312	9853
139	313	9824
140	315	9792
141	316	9762
142	317	9731
143	319	9711
144	320	9689
145	322	9668
146	324	9663
147	326	9654
148	328	9631
149	329	9606
150	330	9580
151	332	9555
152	334	9564
153	336	9544
154	338	9550
155	340	9534
156	341	9509
157	343	9484
158	344	9458
159	345	9432
160	347	9407
161	348	9382
162	350	9385
163	352	9367
164	354	9359
165	355	9341
166	357	9319
167	358	9297
168	359	9275
169	361	9254
170	362	9233
171	364	9213
172	367	9230
173	368	9212
174	370	9201
175	372	9190
176	373	9171
177	375	9160
178	377	9170
179	379	9170
180	382	9167
181	383	9159
182	386	9161
183	389	9177
184	391	9192
185	393	9184
186	395	9178
187	397	9179
188	400	9190
189	403	9193
190	406	9223
191	408	9213
192	410	9201
193	412	9210
194	414	9207
195	417	9208
196	419	9220
197	421	9211
198	423	9205
199	425	9197
200	427	9193
201	429	9193
202	431	9192
203	433	9187
204	435	9179
205	437	9174
206	439	9165
207	441	9157
208	443	9158
209	445	9148
210	448	9163
211	450	9157
212	451	9141
213	452	9122
214	454	9106
215	455	9088
216	457	9071
217	458	9060
218	460	9050
219	461	9032
220	463	9024
221	465	9013
222	466	8995
223	467	8976
224	468	8958
225	470	8940
226	471	8921
227	472	8906
228	474	8897
229	475	8884
230	478	8889
231	479	8878
232	481	8861
233	482	8845
234	483	8828
235	485	8815
236	486	8799
237	487	8785
238	489	8782
239	491	8773
240	492	8760
241	494	8758
242	496	8751
243	498	8745
244	500	8741
245	502	8734
246	503	8727
247	505	8722
248	508	8724
249	510	8733
250	513	8739
251	515	8731
252	516	8726
253	518	8714
254	519	8701
255	521	8695
256	522	8683
257	524	8672
258	526	8667
259	527	8658
260	529	8645
261	530	8633
262	532	8620
263	533	8608
264	534	8595
265	536	8590
266	538	8580
267	539	8568
268	541	8560
269	542	8552
270	544	8542
271	545	8531
272	547	8519
273	548	8508
274	550	8500
275	553	8519
276	557	8552
277	560	8557
278	562	8559
279	564	8563
280	567	8565
281	569	8568
282	571	8570
283	575	8595
284	578	8598
285	581	8619
286	584	8621
287	586	8629
288	590	8646
289	597	8716
290	600	8732
291	603	8751
292	607	8770
293	610	8785
294	613	8798
295	617	8821
296	621	8838
297	623	8841
298	626	8846
299	629	8864
300	633	8881
301	641	8961
302	649	9041
303	653	9073
304	658	9105
305	659	9097
306	661	9091
307	664	9101
308	667	9100
309	674	9164
310	678	9197
311	688	9299
312	691	9305
313	698	9363
314	700	9363
315	704	9378
316	710	9428
317	720	9530
318	730	9632
319	747	9822
320	753	9862
321	759	9908
